Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Sheet metal joining process selector,Journal of the Brazilian Society of Mechanical Sciences and Engineering,,42,5,10.1007/s40430-020-02310-9,Danielle BondFabiana Arissa SuzukiRégis Kovacs Scalice,2020,http://link.springer.com/article/10.1007/s40430-020-02310-9,Article
Holographic spontaneous anisotropy,Journal of High Energy Physics,,2020,4,10.1007/JHEP04(2020)062,Carlos HoyosNiko JokelaJosé Manuel PenínAlfonso V. Ramallo,2020,http://link.springer.com/article/10.1007/JHEP04%282020%29062,Article
A novel virtual barcode strategy for accurate panel-wide variant calling in circulating tumor DNA,BMC Bioinformatics,,21,1,10.1186/s12859-020-3412-2,Leilei WuQinfang DengZe XuSongwen ZhouChao LiYi-Xue Li,2020,http://link.springer.com/article/10.1186/s12859-020-3412-2,Article
Sustainable postal service design: integrating quality function deployment from the customers perspective,International Journal of System Assurance Engineering and Management,,11,2,10.1007/s13198-019-00906-6,Vadivel Sengazani MurugesanA. H. SequeiraSunil Kumar JauharVimal Kumar,2020,http://link.springer.com/article/10.1007/s13198-019-00906-6,Article
Integration of robust and tolerance design in early stages of the product development process,Research in Engineering Design,,31,2,10.1007/s00163-019-00328-2,Stefan GoetzBenjamin SchleichSandro Wartzack,2020,http://link.springer.com/article/10.1007/s00163-019-00328-2,Article
Design structure network (DSN): a method to make explicit the product design specification process for mass customization,Research in Engineering Design,,31,2,10.1007/s00163-020-00331-y,Guilherme Branco LoureiroJoao Carlos Espindola FerreiraPaulo Henrique Zen Messerschmidt,2020,http://link.springer.com/article/10.1007/s00163-020-00331-y,Article
Dynamic Response Analysis of Fractionally-Damped Generalized Bagley–Torvik Equation Subject to External Loads,Russian Journal of Mathematical Physics,,27,2,10.1134/S1061920820020120,H. M. SrivastavaRajarama Mohan JenaSnehashish ChakravertySubrat Kumar Jena,2020,http://link.springer.com/article/10.1134/S1061920820020120,Article
Working environments and clothing conditions in the construction industry,Fashion and Textiles,,7,1,10.1186/s40691-019-0194-0,Ran-i EomYejin Lee,2020,http://link.springer.com/article/10.1186/s40691-019-0194-0,Article
A spectral clustering method to improve importance rating accuracy of customer requirements in QFD,The International Journal of Advanced Manufacturing Technology,,107,05-jun,10.1007/s00170-020-05204-1,Yanlin ShiQingjin Peng,2020,http://link.springer.com/article/10.1007/s00170-020-05204-1,Article
Augmented reality technology selection based on integrated QFD-AHP model,International Journal on Interactive Design and Manufacturing (IJIDeM),,14,1,10.1007/s12008-019-00583-6,Sara BagassiFrancesca De CrescenzioSergio Piastra,2020,http://link.springer.com/article/10.1007/s12008-019-00583-6,Article
QTL mapping for yield-related traits in wheat based on four RIL populations,Theoretical and Applied Genetics,,133,3,10.1007/s00122-019-03515-w,Junmei HuXiaoqian WangGuangxu ZhangPeng JiangWuying ChenYongchao HaoXin MaShoushen XuJizeng JiaLingrang KongHongwei Wang,2020,http://link.springer.com/article/10.1007/s00122-019-03515-w,Article
Decision making tools for optimal material selection: A review,Journal of Central South University,,27,3,10.1007/s11771-020-4322-1,Divya ZindaniSaikat Ranjan MaitySumit Bhowmik PhD,2020,http://link.springer.com/article/10.1007/s11771-020-4322-1,Article
Integrating customer requirements into customized product configuration design based on Kano’s model,Journal of Intelligent Manufacturing,,31,3,10.1007/s10845-019-01467-y,Shuangyao ZhaoQiang ZhangZhanglin PengYu Fan,2020,http://link.springer.com/article/10.1007/s10845-019-01467-y,Article
User Experience with Camera-based  Rear-view Mirrors,ATZ worldwide,,122,3,10.1007/s38311-019-0191-3,Seda AydogduBrad BosmaCorinna SeidlerBernhard Schick,2020,http://link.springer.com/article/10.1007/s38311-019-0191-3,Article
"Data-informed inverse design by product usage information: a review, framework and outlook",Journal of Intelligent Manufacturing,,31,3,10.1007/s10845-019-01463-2,Liang HouRoger J. Jiao,2020,http://link.springer.com/article/10.1007/s10845-019-01463-2,Article
Decision Support System for Solving Multicriteria Problems in the Analysis of Complex Systems,Cybernetics and Systems Analysis,,56,2,10.1007/s10559-020-00244-7,M. M. PotomkinO. V. DublianR. B. Khomchak,2020,http://link.springer.com/article/10.1007/s10559-020-00244-7,Article
Productive service demands modularization for CNC machine tools based on the improved AP clustering algorithm,Neural Computing and Applications,,32,6,10.1007/s00521-019-04173-1,Fei ZhangHong DingNingning Zhang,2020,http://link.springer.com/article/10.1007/s00521-019-04173-1,Article
Pressure transient analysis of a finite-conductivity multiple fractured horizontal well in linear composite gas reservoirs,Journal of Central South University,,27,3,10.1007/s11771-020-4331-0,Jun-jie Ren PhD 任俊杰Yang-yang Gao 高洋洋Qiao Zheng 郑桥Ping Guo 郭平De-long Wang 王德龙,2020,http://link.springer.com/article/10.1007/s11771-020-4331-0,Article
Evidence-based impact by clinical engineers on global patients outcomes,Health and Technology,,10,2,10.1007/s12553-019-00345-0,Yadin DavidThomas Judd,2020,http://link.springer.com/article/10.1007/s12553-019-00345-0,Article
The evaluation of appropriate office layout design with MCDM techniques,SN Applied Sciences,,2,3,10.1007/s42452-020-2181-x,Ergün Eraslanİlknur GüneşliWael Khatib,2020,http://link.springer.com/article/10.1007/s42452-020-2181-x,Article
QFD and Fuzzy Kano model based approach for classification of aesthetic attributes of SUV car profile,Journal of Intelligent Manufacturing,,31,2,10.1007/s10845-018-1444-5,Shwetank AvikalRohit SinghRashmi Rashmi,2020,http://link.springer.com/article/10.1007/s10845-018-1444-5,Article
An integrated AHP-GTA approach for measuring effectiveness of quality tools and techniques,International Journal of System Assurance Engineering and Management,,11,1,10.1007/s13198-019-00924-4,Vivek SharmaSandeep GroverS. K. Sharma,2020,http://link.springer.com/article/10.1007/s13198-019-00924-4,Article
Intuitionistic Fuzzy TOPSIS method for green supplier selection problem,Soft Computing,,24,3,10.1007/s00500-019-04054-8,Babak Daneshvar RouyendeghAbdullah YildizbasiPelin Üstünyer,2020,http://link.springer.com/article/10.1007/s00500-019-04054-8,Article
Design concept evaluation using soft sets based on acceptable and satisfactory levels: an integrated TOPSIS and Shannon entropy,Soft Computing,,24,3,10.1007/s00500-019-04055-7,Khizar HayatMuhammad Irfan AliFaruk KaraaslanBing-Yuan CaoMubashar Hussain Shah,2020,http://link.springer.com/article/10.1007/s00500-019-04055-7,Article
Sustainable outsourcing partner selection and evaluation using an integrated BWM–VIKOR framework,"Environment, Development and Sustainability",,22,2,10.1007/s10668-018-0261-5,Chandra Prakash GargArchana Sharma,2020,http://link.springer.com/article/10.1007/s10668-018-0261-5,Article
The application of enhanced recovery after surgery for upper gastrointestinal surgery: Meta-analysis,BMC Surgery,,20,1,10.1186/s12893-019-0669-3,Zhen-Dong HuangHui-Yun GuJie ZhuJie LuoXian-Feng ShenQi-Feng DengChao ZhangYan-Bing Li,2020,http://link.springer.com/article/10.1186/s12893-019-0669-3,Article
Bid Evaluation for Major Construction Projects Under Large-Scale Group Decision-Making Environment and Characterized Expertise Levels,International Journal of Computational Intelligence Systems,,13,1,10.2991/ijcis.d.200801.002,Lu XiaoZhen-Song ChenXuan ZhangJian-Peng ChangWitold PedryczKwai-Sang Chin,2020,http://link.springer.com/article/10.2991/ijcis.d.200801.002,Article
A Multi-Criteria Group Decision-Making Approach Based on Improved BWM and MULTIMOORA with Normal Wiggly Hesitant Fuzzy Information,International Journal of Computational Intelligence Systems,,13,1,10.2991/ijcis.d.200325.001,Chengxiu YangQianzhe WangWeidong PengJie Zhu,2020,http://link.springer.com/article/10.2991/ijcis.d.200325.001,Article
A novel systematic method to evaluate computer-supported collaborative design technologies,Research in Engineering Design,,31,1,10.1007/s00163-019-00323-7,R. BriscoR. I. WhitfieldH. Grierson,2020,http://link.springer.com/article/10.1007/s00163-019-00323-7,Article
Urban Real Estate Market Early Warning Based on Support Vector Machine: A Case Study of Beijing,International Journal of Computational Intelligence Systems,,13,1,10.2991/ijcis.d.200129.001,Xian-Jia WangGuan-Tian ZengKe-Xin ZhangHai-Bo ChuZhen-Song Chen,2020,http://link.springer.com/article/10.2991/ijcis.d.200129.001,Article
Fuzzy applications of Best–Worst method in manufacturing environment,Soft Computing,,24,1,10.1007/s00500-019-04491-5,Mehmet Alper Sofuoğlu,2020,http://link.springer.com/article/10.1007/s00500-019-04491-5,Article
Discovering Potential Partners via Projection-Based Link Prediction in the Supply Chain Network,International Journal of Computational Intelligence Systems,,13,1,10.2991/ijcis.d.200813.001,Zhi-Gang LuQian Chen,2020,http://link.springer.com/article/10.2991/ijcis.d.200813.001,Article
Process selection methodology for near net shape manufacturing,The International Journal of Advanced Manufacturing Technology,,106,05-jun,10.1007/s00170-019-04561-w,Daniele MariniJonathan R. Corney,2020,http://link.springer.com/article/10.1007/s00170-019-04561-w,Article
A Novel Pythagorean Fuzzy LINMAP-Based Compromising Approach for Multiple Criteria Group Decision-Making with Preference Over Alternatives,International Journal of Computational Intelligence Systems,,13,1,10.2991/ijcis.d.200408.001,Jih-Chang WangTing-Yu Chen,2020,http://link.springer.com/article/10.2991/ijcis.d.200408.001,Article
Robust multi-criteria decision making methodology for real life logistics center location problem,Artificial Intelligence Review,,53,1,10.1007/s10462-019-09763-y,Mihrimah ÖzmenEmel Kızılkaya Aydoğan,2020,http://link.springer.com/article/10.1007/s10462-019-09763-y,Article
Service quality evaluation of international freight forwarders: an empirical research in East Asia,Journal of Shipping and Trade,,4,1,10.1186/s41072-019-0053-6,Sheng Teng HuangEmrah BulutOkan Duru,2019,http://link.springer.com/article/10.1186/s41072-019-0053-6,Article
Devising smart strategic framework for assessment of quality in engineering education,International Journal of System Assurance Engineering and Management,,10,6,10.1007/s13198-019-00892-9,Vivek B. KamatJayant K. Kittur,2019,http://link.springer.com/article/10.1007/s13198-019-00892-9,Article
Quality perception throughout the apple fruit chain,Journal of Food Measurement and Characterization,,13,4,10.1007/s11694-019-00233-1,Ilija DjekicDragan RadivojevicJasminka Milivojevic,2019,http://link.springer.com/article/10.1007/s11694-019-00233-1,Article
A systematic review on supplier selection and order allocation problems,Journal of Industrial Engineering International,,15,1,10.1007/s40092-019-00334-y,Sourour AouadniIsmahene AouadniAbdelwaheb Rebaï,2019,http://link.springer.com/article/10.1007/s40092-019-00334-y,Article
A decision support system for single-period single sourcing problem in supply chain management,Soft Computing,,23,24,10.1007/s00500-019-03864-0,Alireza EydiLeyla Fazli,2019,http://link.springer.com/article/10.1007/s00500-019-03864-0,Article
Global new product development: moderating role of national culture on the link between buyer–seller interactions and innovation outcomes,AMS Review,,9,03-abr,10.1007/s13162-019-00142-y,K. SivakumarSubroto Roy,2019,http://link.springer.com/article/10.1007/s13162-019-00142-y,Article
A comparative study on performance measurement of Indian public sector banks using AHP-TOPSIS and AHP-grey relational analysis,OPSEARCH,,56,4,10.1007/s12597-019-00411-1,Shivani GuruD. K. Mahalik,2019,http://link.springer.com/article/10.1007/s12597-019-00411-1,Article
A systematic methodology for the modularization of manufacturing systems during early design,Flexible Services and Manufacturing Journal,,31,4,10.1007/s10696-019-09338-7,Federico RossiSabrina ArfelliS. Jack HuTullio Antonio Maria TolioTheodor Freiheit,2019,http://link.springer.com/article/10.1007/s10696-019-09338-7,Article
Contractor selection for renovation of cultural heritage buildings by PROMETHEE method,Archives of Civil and Mechanical Engineering,,19,4,10.1016/j.acme.2019.05.008,Zydrune MorkunaiteValentinas PodvezkoEdmundas Kazimieras ZavadskasRomualdas Bausys,2019,http://link.springer.com/article/10.1016/j.acme.2019.05.008,Article
Quality Management in Manufacturing and Technological Systems,Russian Metallurgy (Metally),,2019,13,10.1134/S003602951913038X,V. A. Vasil’evE. Yu. BarmenkovE. B. BobryshevD. B. Nosova,2019,http://link.springer.com/article/10.1134/S003602951913038X,Article
The shortest path problem in interval valued trapezoidal and triangular neutrosophic environment,Complex & Intelligent Systems,,5,4,10.1007/s40747-019-0092-5,Said BroumiDeivanayagampillai NagarajanAssia BakaliMohamed TaleaFlorentin SmarandacheMalayalan Lathamaheswari,2019,http://link.springer.com/article/10.1007/s40747-019-0092-5,Article
"Shortest path problem in fuzzy, intuitionistic fuzzy and neutrosophic environment: an overview",Complex & Intelligent Systems,,5,4,10.1007/s40747-019-0098-z,Said BroumiMohamed TaleaAssia BakaliFlorentin SmarandacheDeivanayagampillai NagarajanMalayalan LathamaheswariMani Parimala,2019,http://link.springer.com/article/10.1007/s40747-019-0098-z,Article
Sustainability requirements for eLearning systems: a systematic literature review and analysis,Requirements Engineering,,24,4,10.1007/s00766-018-0299-9,Ahmed D. AlharthiMaria SpichkovaMargaret Hamilton,2019,http://link.springer.com/article/10.1007/s00766-018-0299-9,Article
On the baryon-color-flavor (BCF) anomaly in vector-like theories,Journal of High Energy Physics,,2019,11,10.1007/JHEP11(2019)063,Mohamed M. AnberErich Poppitz,2019,http://link.springer.com/article/10.1007/JHEP11%282019%29063,Article
An analysis of passengers’ ride needs of urban rail transit services: application of quality function deployment,International Journal of Quality Innovation,,5,1,10.1186/s40887-019-0033-9,Catherine Y. P. ChanKwai-Sang ChinCandace ChanKwok L. Tsui,2019,http://link.springer.com/article/10.1186/s40887-019-0033-9,Article
