Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
An improved normal wiggly hesitant fuzzy FMEA model and its application to risk assessment of electric bus systems,Applied Intelligence,,54,8,10.1007/s10489-024-05458-2,Pei ZhangZhenji ZhangDaqing Gong,2024,http://link.springer.com/article/10.1007/s10489-024-05458-2,Article
Optimal selection and investment-allocation decisions for sustainable supplier development practices,Annals of Operations Research,,335,1,10.1007/s10479-023-05367-6,Chunguang BaiKannan GovindanDileep Dhavale,2024,http://link.springer.com/article/10.1007/s10479-023-05367-6,Article
An extension of the best–worst method based on the spherical fuzzy sets for multi-criteria decision-making,Granular Computing,,9,2,10.1007/s41066-024-00462-w,Gholamreza HaseliReza SheikhSaeid Jafarzadeh GhoushchiMostafa Hajiaghaei-KeshteliSarbast MoslemMuhammet DeveciSeifedine Kadry,2024,http://link.springer.com/article/10.1007/s41066-024-00462-w,Article
A review on solar water heating technology: Impacts of parameters and techno-economic studies,Bulletin of the National Research Centre,,48,1,10.1186/s42269-024-01187-1,Fabian EzeMunonyedi EgboUdochukwu John AnutaOssei-Bremang Rejoice NtiriwaaJulius OgolaJulius Mwabora,2024,http://link.springer.com/article/10.1186/s42269-024-01187-1,Article
Correction: Designing temperature-controlled medicine bag using an integrated AHP-QFD methodology,International Journal on Interactive Design and Manufacturing (IJIDeM),,18,2,10.1007/s12008-023-01519-x,Dollaya BuakumChukree DaesaRunchana SinthavalaiKrittamet Noppasri,2024,http://link.springer.com/article/10.1007/s12008-023-01519-x,Article
Designing temperature-controlled medicine bag using an integrated AHP-QFD methodology,International Journal on Interactive Design and Manufacturing (IJIDeM),,18,2,10.1007/s12008-023-01457-8,Dollaya BuakumChukree DaesaRunchana SinthavalaiKrittamet Noppasri,2024,http://link.springer.com/article/10.1007/s12008-023-01457-8,Article
An integrated decision framework for evaluating and recommending health care services,Applied Intelligence,,54,5,10.1007/s10489-024-05396-z,Bashar AlshouhaJesus Serrano-GuerreroFrancisco ChiclanaFrancisco P. RomeroJose A. Olivas,2024,http://link.springer.com/article/10.1007/s10489-024-05396-z,Article
"Barriers and Strategies for Digitalisation of Economy in Developing Countries: Pakistan, a Case in Point",Journal of the Knowledge Economy,,15,1,10.1007/s13132-023-01158-3,Mahrose NadeemYousaf AliObaid ur RehmanLauri Tapani Saarinen,2024,http://link.springer.com/article/10.1007/s13132-023-01158-3,Article
Cascade Roadmaps as a Tool for Technology Strategy Formulation: the Case of Iran Oil Industry,Journal of the Knowledge Economy,,15,1,10.1007/s13132-023-01221-z,Sepehr GhazinooryMaryam NozariFatemeh Hoshdar,2024,http://link.springer.com/article/10.1007/s13132-023-01221-z,Article
A Hybrid Approach to Sustainable Supplier Selection and Order Allocation Considering Quality Policies and Demand Forecasting: A Real-Life Case Study,Process Integration and Optimization for Sustainability,,8,1,10.1007/s41660-023-00350-x,MohammadHossein Jafari-RaddaniHossein Choopani AsgarabadAmir AghsamiFariborz Jolai,2024,http://link.springer.com/article/10.1007/s41660-023-00350-x,Article
A novel multicriteria decision-making process for selecting spot welding robot with removal effects of criteria techniques,International Journal on Interactive Design and Manufacturing (IJIDeM),,18,2,10.1007/s12008-023-01650-9,Huy-Anh BuiXuan-Thuan Nguyen,2024,http://link.springer.com/article/10.1007/s12008-023-01650-9,Article
Performance improvement for catheter ablation assembly using an effect-solving method,Journal of the Brazilian Society of Mechanical Sciences and Engineering,,46,3,10.1007/s40430-024-04702-7,Weiliang HsuIntan MardionoImang Eko SaputroYiin-Kuen Fuh,2024,http://link.springer.com/article/10.1007/s40430-024-04702-7,Article
